date_end,date_start,pollster,sponsor,population,n,dem,rep,value,partisan,internal,poll_id,source_url
2025-09-29,2025-09-25,YouGov,Yahoo News,RV,1126,44.0,40.0,4.0,,,gen202youo39xn1pc,https://www.scribd.com/document/925455404/Combined-Kimmel
2025-10-05,2025-10-03,Morning Consult,,RV,2200,46.0,43.0,3.0,,,gen202morqcn8uhs5,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#10-05-2025
2025-10-05,2025-09-29,Morning Consult,,RV,19675,44.0,43.0,1.0,,,gen202morzjhstweo,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#10-05-2025
2025-10-06,2025-10-02,Noble Predictive Insights,The Center Square,RV,2565,45.0,43.0,2.0,,,gen202nob0c120q72,https://www.thecentersquare.com/north_carolina/article_1ca4f129-6cbd-4a04-a83b-4e98ad17c137.html
2025-10-06,2025-10-04,YouGov,The Economist,A,1648,39.0,33.0,6.0,,,gen202youxems43ny,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_aAQjgRJ.pdf
2025-10-06,2025-10-04,YouGov,The Economist,RV,1490,44.0,39.0,5.0,,,gen202youc4doajhn,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_aAQjgRJ.pdf
2025-10-07,2025-10-06,Quantus Insights,,LV,1000,42.0,43.0,-1.0,,,gen202quamqcd3h07,https://drive.google.com/file/d/18CFNjqfW9dYNXE0l84WXTlCLcYVvvbSk/view
2025-10-08,2025-10-07,Cygnal,,LV,1500,48.0,45.0,3.0,,,gen202cygaqish8b5,https://www.cygn.al/poll-42-of-liberals-approve-of-law-breaking-in-response-to-disagreeing-with-a-government-action/
2025-10-12,2025-10-08,Hart Research Associates/Public Opinion Strategies,CNBC,A,1000,48.0,47.0,1.0,,,gen202har96803jy9,https://www.cnbc.com/2025/10/17/trumps-economic-approval-rating-drops-says-cnbc-survey.html
2025-10-12,2025-10-06,Morning Consult,,RV,19675,44.0,43.0,1.0,,,gen202morccd4ont3,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#10-12-2025
2025-10-13,2025-10-10,YouGov,The Economist,A,1622,39.0,34.0,5.0,,,gen202youpmtm80jk,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_GWBYlDD.pdf
2025-10-13,2025-10-10,YouGov,The Economist,RV,1467,43.0,40.0,3.0,,,gen202youcq6fiamj,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_GWBYlDD.pdf
2025-10-14,2025-10-13,Emerson College,,RV,1000,43.9,42.5,1.4,,,gen202eme09e7vdrr,https://docs.google.com/spreadsheets/d/1OH0jUjsnk6GYnBZgR648Qenu3UpslqAW/edit?gid=329128904#gid=329128904
2025-10-15,2025-10-14,J.L. Partners,DailyMail.com,RV,1004,43.0,37.0,6.0,,,gen202j.lmx2bwz2t,https://jlpartners.com/s/DailyMail_Crosstabs_Oct25_MiddleEast.xlsx
2025-10-16,2025-10-10,The Argument/Verasight,,RV,1530,51.0,49.0,2.0,,,gen202theh0ygpmcw,https://www.theargumentmag.com/p/the-immigration-problem-is-a-crime
2025-10-16,2025-10-15,The Winston Group,Winning the Issues,RV,1000,47.0,43.0,4.0,REP,,gen202the5055eb68,https://www.winningtheissues.org/wp-content/uploads/2026/01/October-2025-WTI-National-Survey.pdf
2025-10-19,2025-10-17,Morning Consult,,RV,2200,46.0,43.0,3.0,,,gen202morcz732988,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#10-19-2025
2025-10-19,2025-10-13,Morning Consult,,RV,19675,44.0,42.0,2.0,,,gen202mor7d2ev6j8,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#10-19-2025
2025-10-20,2025-10-16,Echelon Insights,,LV,1010,48.0,46.0,2.0,,,gen202ech0gads5m7,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2025-Voter-Omnibus-Topline-External-2.pdf
2025-10-20,2025-10-15,Ipsos,Reuters,,,41.0,38.0,3.0,,,gen202ips7guhl7ea,https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05#10-20-2025
2025-10-20,2025-10-16,Quinnipiac University,,RV,1327,50.0,41.0,9.0,,,gen202quiuhrq4f2e,https://poll.qu.edu/poll-release?releaseid=3938
2025-10-20,2025-10-16,University of Massachusetts Department of Political Science/YouGov,,A,1000,38.0,35.0,3.0,,,gen202unibdng1eek,https://www.uml.edu/news/press-releases/2025/national-poll-10292025.aspx
2025-10-20,2025-10-17,YouGov,The Economist,A,1621,40.0,35.0,5.0,,,gen202youslkef7gy,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_9BPkYGS.pdf
2025-10-20,2025-10-17,YouGov,The Economist,RV,1448,45.0,40.0,5.0,,,gen202you0v0ouios,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_9BPkYGS.pdf
2025-10-23,2025-10-16,Clarity Campaign Labs,,RV,1047,47.0,46.0,1.0,,,gen202clatqyzbr5d,https://www.claritycampaigns.com/clarity-omnibus-oct-2025
2025-10-26,2025-10-24,Ipsos,Reuters,,,39.0,39.0,0.0,,,gen202ips4tl5wi4t,https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05#10-26-2025
2025-10-26,2025-10-15,Manhattan Institute,,RV,500,47.0,44.0,3.0,,,gen202manknsqluca,https://media4.manhattan-institute.org/wp-content/uploads/MI-GOP-Trump-Voters-Toplines-FULL-11.19.pdf
2025-10-26,2025-10-20,Morning Consult,,RV,19675,44.0,42.0,2.0,,,gen202mor5e30dp4k,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#10-26-2025
2025-10-27,2025-10-21,McLaughlin & Associates,,LV,1000,44.0,46.0,-2.0,,,gen202mclzpy7tp0x,https://mclaughlinonline.com/pols/wp-content/uploads/2025/10/National-October-Presentation-RELEASE.pdf
2025-10-27,2025-10-24,YouGov,The Economist,A,1623,39.0,34.0,5.0,,,gen202youn7fgtk5t,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_6P3FccQ.pdf
2025-10-27,2025-10-24,YouGov,The Economist,RV,1476,43.0,40.0,3.0,,,gen202youo7qshven,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_6P3FccQ.pdf
2025-10-27,2025-10-23,YouGov,Yahoo News,RV,1197,45.0,40.0,5.0,,,gen202youpwe26mar,https://www.scribd.com/document/940273112/Yahoo-YouGov-Shutdown-Poll-October-2025
2025-10-28,2025-10-26,Big Data Poll,Public Polling Project,RV,2984,43.0,41.0,2.0,,,gen202bigdzhzvp2p,https://www.bigdatapoll.com/blog/trumps-third-world-immigration-moratorium-widely-popular/
2025-10-28,2025-10-24,Hart Research Associates/Public Opinion Strategies,NBC News,RV,1000,50.0,42.0,8.0,,,gen202har3fuscn8p,https://pos.org/wp-content/uploads/2025/11/NBC-News-October-2025-Poll-11-02-2025-Release.pdf
2025-10-28,2025-10-24,Washington Post/ABC News/Ipsos,,RV,2203,46.0,44.0,2.0,,,gen202wasynrir54c,https://www.washingtonpost.com/documents/1d305cca-df33-44a8-ba8d-c98790a67f99.pdf
2025-10-29,2025-10-27,NewsNation/Decision Desk HQ,,LV,1158,47.0,47.0,0.0,,,gen202new6qw03vmk,https://www.newsnationnow.com/polls/full-poll-results-newsnation-national-survey-trump
2025-10-29,2025-10-27,NewsNation/Decision Desk HQ,,RV,1609,45.0,44.0,1.0,,,gen202newox3d7bq2,https://www.newsnationnow.com/polls/full-poll-results-newsnation-national-survey-trump
2025-10-29,2025-10-24,Verasight,Strength In Numbers,A,1567,49.0,41.0,8.0,,,gen202verl2j6ull5,https://www.gelliottmorris.com/p/new-poll-voters-want-democrats-to
2025-10-30,2025-10-27,CNN/SSRS,,RV,954,47.0,42.0,5.0,,,gen202cnn5odn7vb2,https://www.cnn.com/2025/11/03/politics/cnn-poll-democrats-trump-midterms
2025-11-02,2025-10-27,Morning Consult,,RV,19675,43.0,43.0,0.0,,,gen202morjcfai245,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#11-02-2025
2025-11-03,2025-10-31,RMG Research,Napolitan Institute,RV,2000,44.0,46.0,-2.0,,,gen202rmgsgiakj74,https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-42
2025-11-03,2025-10-31,YouGov,The Economist,A,1656,38.0,35.0,3.0,,,gen202youted6dkve,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_IUIp7Sc.pdf
2025-11-03,2025-10-31,YouGov,The Economist,RV,1475,44.0,41.0,3.0,,,gen202youq3dfmb50,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_IUIp7Sc.pdf
2025-11-04,2025-11-03,Emerson College,,RV,1000,43.5,40.1,3.4,,,gen202emer1qfrr9e,https://docs.google.com/spreadsheets/d/1-IAQE73c7vVIynxF_-FW_kdiPJrpUIrO/edit?usp=sharing&ouid=107857247170786005927&rtpof=true&sd=true
2025-11-06,2025-11-05,Cygnal,,LV,1500,49.7,43.6,6.1,,,gen202cygl643olc7,https://www.cygn.al/wp-content/uploads/2025/11/Cygnal-National-NVT-Nov25-Deck-Public.pdf
2025-11-09,2025-11-07,Morning Consult,,RV,2201,48.0,43.0,5.0,,,gen202morybmkp88m,https://links.morningconsult.com/s/vb/pML3dxXpq_z0HGPRnIodfYJnCrdA5pv30yFHu8yovGNrkEKsYCrN0zHjzdDyQ6wBWN0YIBIZGjicBqLObQiaEyGGtyGViptcSFlD8X4UtYodgjvUMgKnwSfn3kTdfTsm3qYyj6bgK-k185oLu3OUHtto-3du_st3ktx_3w/Jj-WgYyBcbX2NhKQBSWVc88CaP2QP8XN/14
2025-11-09,2025-11-03,Morning Consult,,RV,19675,44.0,42.0,2.0,,,gen202morasuqyoxk,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#11-09-2025
2025-11-10,2025-11-07,YouGov,The Economist,A,1663,40.0,34.0,6.0,,,gen202youxfka7cyz,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EAdEA3C.pdf
2025-11-10,2025-11-07,YouGov,The Economist,RV,1500,46.0,39.0,7.0,,,gen202youfww7v041,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EAdEA3C.pdf
2025-11-10,2025-11-07,YouGov Blue,,RV,517,48.0,45.0,3.0,,,gen202youmsx7p0ic,https://www.the-downballot.com/p/new-poll-shows-democrats-best-path
2025-11-11,2025-10-29,Yale Youth Poll,,RV,3426,45.0,43.0,2.0,,,gen202yal0858bkxy,https://youthpoll.yale.edu/fall-2025-results
2025-11-12,2025-11-07,Ipsos,Reuters,RV,938,41.0,40.0,1.0,,,gen202ipsoltvkyn1,https://www.reuters.com/world/us/democrats-more-energized-2026-elections-than-republicans-reutersipsos-poll-finds-2025-11-13
2025-11-12,2025-11-05,Marquette University Law School,,A,1052,46.0,41.0,5.0,,,gen202maroindbw0q,https://law.marquette.edu/poll/wp-content/uploads/2025/11/MLSPSC29Toplines_NationalIssues.html
2025-11-12,2025-11-05,Marquette University Law School,,RV,903,49.0,44.0,5.0,,,gen202marsb7pbzop,https://law.marquette.edu/poll/wp-content/uploads/2025/11/MLSPSC29Toplines_NationalIssues.html
2025-11-12,2025-11-05,Marquette University Law School,,LV,602,53.0,44.0,9.0,,,gen202marmf1y26jw,https://law.marquette.edu/poll/wp-content/uploads/2025/11/MLSPSC29Toplines_NationalIssues.html
2025-11-12,2025-11-11,Quantus Insights,,RV,1000,43.7,39.3,4.4,,,gen202qua2uog9zfw,https://docs.google.com/spreadsheets/d/1hWBzli7svmD7m4Ew3enKOh6A8FtTDJRaQ-fMniwlXIc/edit?gid=1563426900#gid=1563426900
2025-11-12,2025-11-06,Survey 160,,RV,1513,46.0,39.0,7.0,,,gen202sur6qvftmu9,https://www.survey160.com/methodological-research-blog/survey-160-tracking-poll-november-2025-update
2025-11-13,2025-11-10,Marist College,,RV,1291,55.0,41.0,14.0,,,gen202mart725c1lc,https://maristpoll.marist.edu/wp-content/uploads/2025/11/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202511141156-1.pdf
2025-11-14,2025-11-10,High Point University Survey Research Center,,A,1004,46.0,36.0,10.0,,,gen202higl0n40cys,https://www.highpoint.edu/src/files/2023/08/HPUPoll-115-and-116-Memo.pdf
2025-11-14,2025-11-10,High Point University Survey Research Center,,RV,837,48.0,39.0,9.0,,,gen202higz24262eu,https://www.highpoint.edu/src/files/2023/08/HPUPoll-115-and-116-Registered-Voters.pdf
2025-11-14,2025-11-12,Verasight,Strength In Numbers,A,1004,47.0,42.0,5.0,,,gen202verrjoxe39u,https://www.gelliottmorris.com/p/new-poll-democrats-lead-the-2026
2025-11-14,2025-11-12,Verasight,Strength In Numbers,RV,896,49.0,44.0,5.0,,,gen202ver5jr9xwy7,https://www.gelliottmorris.com/p/new-poll-democrats-lead-the-2026
2025-11-16,2025-11-10,Morning Consult,,RV,19675,44.0,43.0,1.0,,,gen202moriofdcbee,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#11-16-2025
2025-11-17,2025-11-13,Echelon Insights,,LV,1051,49.0,45.0,4.0,,,gen202echcrpejs8g,https://echelonin.wpenginepowered.com/wp-content/uploads/November-2025-Voter-Omnibus-Topline-External.pdf
2025-11-17,2025-11-14,Ipsos,Reuters,,,38.0,36.0,2.0,,,gen202ipsgz4jzn1r,https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05#11-17-2025
2025-11-17,2025-11-10,The Argument/Verasight,,RV,1508,53.0,47.0,6.0,,,gen202thelkg0oyr4,https://www.theargumentmag.com/p/2026-is-looking-terrible-for-republicans
2025-11-17,2025-11-10,The Argument/Verasight,,LV,,53.8,46.2,7.6,,,gen202theoqmu5rw8,https://www.theargumentmag.com/p/2026-is-looking-terrible-for-republicans
2025-11-17,2025-11-15,The Winston Group,Winning the Issues,RV,1000,47.0,42.0,5.0,REP,,gen202theaccdd393,https://www.winningtheissues.org/wp-content/uploads/2026/01/November-2025-WTI-Survey.pdf
2025-11-17,2025-11-15,YouGov,The Economist,A,1549,38.0,35.0,3.0,,,gen202you0nji2mdw,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Wnui9DE.pdf
2025-11-17,2025-11-15,YouGov,The Economist,RV,1382,43.0,40.0,3.0,,,gen202you0di212ea,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Wnui9DE.pdf
2025-11-20,2025-11-19,J.L. Partners,DailyMail.com,LV,797,50.0,46.0,4.0,,,gen202j.llqmqhhn7,https://jlpartners.com/nov25-rv
2025-11-23,2025-11-21,Morning Consult,,RV,2200,45.0,43.0,2.0,,,gen202moryc6bhc0x,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#11-23-2025
2025-11-23,2025-11-17,Morning Consult,,RV,19675,44.0,42.0,2.0,,,gen202mor93xcfxwn,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#11-23-2025
2025-11-24,2025-11-17,McLaughlin & Associates,,LV,1000,45.0,44.0,1.0,,,gen202mclnofw0ify,https://mclaughlinonline.com/pols/wp-content/uploads/2025/11/National-November-Presentation-RELEASE-11-25-25-1.pdf
2025-11-24,2025-11-21,YouGov,The Economist,A,1677,39.0,32.0,7.0,,,gen202yourt1gmu86,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_t1cr1bJ.pdf
2025-11-24,2025-11-21,YouGov,The Economist,RV,1511,44.0,39.0,5.0,,,gen202youopwcmq60,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_t1cr1bJ.pdf
2025-11-24,2025-11-20,YouGov,Yahoo News,RV,1131,43.0,40.0,3.0,,,gen202you3n4bs4qe,https://www.yahoo.com/news/politics/article/poll-by-a-2-to-1-margin-americans-say-trump-has-done-more-to-raise-prices-than-lower-them-183908373.html
2025-11-26,2025-11-19,GBAO Strategies,Third Way,RV,2000,48.0,42.0,6.0,,,gen202gba5ap9ebsy,https://www.thirdway.org/memo/food-medicine-fuel-for-a-wave
2025-11-30,2025-11-24,Morning Consult,,RV,21658,44.0,42.0,2.0,,,gen202morneejnver,https://pro.morningconsult.com/trackers/2026-midterm-elections-tracker-generic-ballot#11-30-2025
2025-12-01,2025-11-28,Big Data Poll,Public Polling Project,RV,2008,44.0,42.0,2.0,,,gen202bigc4ezhoul,https://www.bigdatapoll.com/blog/trumps-third-world-immigration-moratorium-widely-popular/
2025-12-01,2025-11-28,Big Data Poll,Public Polling Project,LV,1788,46.0,43.0,3.0,,,gen202bigemmpsn62,https://www.bigdatapoll.com/blog/trumps-third-world-immigration-moratorium-widely-popular/
2025-12-01,2025-11-28,YouGov,The Economist,RV,1456,45.0,39.0,6.0,,,gen202you5a7g4s2i,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_neyUICe.pdf
2025-12-01,2025-11-28,YouGov,The Economist,A,1628,39.0,33.0,6.0,,,gen202youvl63j6v6,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_neyUICe.pdf
2025-12-04,2025-12-01,RMG Research,Napolitan Institute,RV,2000,44.0,48.0,-4.0,,,gen202rmgzscdfzcq,https://napolitannews.org/posts/generic-ballot-gop-45-percent-dem-41#12-04-2025
2025-12-05,2025-12-04,Quantus Insights,,RV,1000,44.0,40.0,4.0,,,gen202quau8o1h7sf,https://drive.google.com/file/d/1cOyOMwoFoYuvZtAYFAuO1M9FIK7xenv7/view
2025-12-07,2025-12-05,Cygnal,,LV,1500,48.0,44.1,3.9,,,gen202cyg7krp08wo,https://www.cygn.al/wp-content/uploads/2025/12/23448-Cygnal-National-Dec25-NVT-Deck-Public.pdf
2025-12-07,2025-12-01,Morning Consult,,RV,21658,44.0,43.0,1.0,,,gen202morq71dlrjx,https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls#12-07-2025
2025-12-07,2025-12-05,Morning Consult,,RV,2201,46.0,43.0,3.0,,,gen202morr2avsbar,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#12-07-2025
2025-12-08,2025-12-06,Grayhouse,America One Policies,RV,2058,45.0,41.0,4.0,REP,,gen202gra16882fe7,https://cdn.prod.website-files.com/5d02aaade6188137a65c8441/69407765111c88bd09a7f919_Senate%20Healthcare%20Polling%20Deck.pdf
2025-12-08,2025-12-04,Hart Research Associates/Public Opinion Strategies,CNBC,RV,800,50.0,46.0,4.0,,,gen202harf7u1dop3,https://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2025/12/16/TOPLINES_250313_CNBC_AAES_Q4_2025_new.pdf
2025-12-08,2025-12-03,Ipsos,Reuters,RV,3521,40.0,39.0,1.0,,,gen202ipsw38dqmfx,https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05#12-08-2025
2025-12-08,2025-12-05,YouGov,The Economist,A,1530,37.0,32.0,5.0,,,gen202youmxyis93n,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_IoqnUWW.pdf
2025-12-08,2025-12-05,YouGov,The Economist,RV,1380,42.0,37.0,5.0,,,gen202youwb0wcges,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_IoqnUWW.pdf
2025-12-11,2025-12-04,Clarity Campaign Labs,,LV,1000,49.0,44.0,5.0,,,gen202cla48neovgl,https://www.claritycampaigns.com/clarity-omnibus-dec-2025
2025-12-11,2025-12-05,The Argument/Verasight,,RV,1521,50.6,49.4,1.2,,,gen202theit3vqxax,https://www.theargumentmag.com/p/have-democrats-lost-their-education
2025-12-11,2025-12-05,The Argument/Verasight,,LV,,52.4,47.6,4.8,,,gen202thet8h94b7k,https://www.theargumentmag.com/p/have-democrats-lost-their-education
2025-12-12,2025-12-10,Big Data Poll,Public Polling Project,RV,3004,44.1,40.6,3.5,,,gen202bigu771x3r1,https://application.marketsight.com/app/ItemView.aspx?SharedFor=public%40bigdatapoll.com&SharedBy=34090&id=d44d9751-22bd-489a-a372-b3b3002c437f
2025-12-14,2025-12-08,Morning Consult,,RV,19954,44.0,43.0,1.0,,,gen202morhqrpcr9z,https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls#12-14-2025
2025-12-15,2025-12-11,Echelon Insights,,LV,1011,48.0,45.0,3.0,,,gen202ech9vgw0ths,https://echelonin.wpenginepowered.com/wp-content/uploads/December-2025-Omnibus-Topline-External.pdf
2025-12-15,2025-12-12,Morning Consult,,RV,2201,45.0,44.0,1.0,,,gen202morav9t1tpv,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#12-15-2025
2025-12-15,2025-12-11,Quinnipiac University,,RV,1035,47.0,43.0,4.0,,,gen202quisv6i8kb4,https://poll.qu.edu/images/polling/us/us12172025_ugli25.pdf
2025-12-15,2025-12-12,YouGov,The Economist,A,1632,37.0,33.0,4.0,,,gen202youkht853yu,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Z19KY8S.pdf
2025-12-15,2025-12-12,YouGov,The Economist,RV,1453,43.0,39.0,4.0,,,gen202youtqbpl5wi,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Z19KY8S.pdf
2025-12-16,2025-12-09,Echelon Insights/GBAO,AARP,LV,2023,47.0,43.0,4.0,,,gen202ech6dc8bbee,https://www.aarp.org/content/dam/aarp/research/topics/work-finances-retirement/financial-security-retirement/shes-the-difference-financial-security-annotated-questionnaire.doi.10.26419-2fres.01033.002.pdf
2025-12-16,2025-12-15,Quantus Insights,,LV,1000,43.0,41.0,2.0,,,gen202quayrux711g,https://drive.google.com/file/d/14uRV2kwTVNEO4EIXGv7TCQZtmlMK0owX/view
2025-12-17,2025-12-15,"Fabrizio, Lee & Associates",Building America's Future,RV,1000,45.0,38.0,7.0,REP,,gen202fabdmpzj8zo,https://www.politico.com/newsletters/playbook/2025/12/22/cbs-controversial-call-00702480
2025-12-19,2025-12-15,AtlasIntel,,A,2315,54.4,38.4,16.0,,,gen202atli98ny44e,https://cdn.atlasintel.org/b04a7568-81b3-478f-a785-d5e5902941d4.pdf?_gl=1*1fyq2oz*_ga*MTM0MTUwMDU0My4xNzY2MTk1NTU4*_ga_W78QD5CNP1*czE3NjYxOTU1NTckbzEkZzAkdDE3NjYxOTU5MzckajYwJGwwJGgw
2025-12-19,2025-12-12,McLaughlin & Associates,,LV,1000,46.0,45.0,1.0,,,gen202mclalveuwur,https://mclaughlinonline.com/pols/wp-content/uploads/2025/12/National-December-Presentation-Release-12-19-25.pdf
2025-12-21,2025-12-15,Morning Consult,,RV,20240,45.0,42.0,3.0,,,gen202morjndncmme,https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls#12-21-2025
2025-12-22,2025-12-20,YouGov,The Economist,A,1592,38.0,34.0,4.0,,,gen202you6j0eib4q,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_s4jyXBa.pdf
2025-12-22,2025-12-20,YouGov,The Economist,RV,1425,43.0,40.0,3.0,,,gen202youfa0e23zn,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_s4jyXBa.pdf
2025-12-28,2025-12-26,Big Data Poll,Public Polling Project,LV,3412,47.9,44.4,3.5,,,gen202big9ff7jwwd,https://www.bigdatapoll.com/blog/trump-improves-democrats-lead-generic-ballot-in-final-poll-for-2025/
2025-12-28,2025-12-22,Morning Consult,,RV,24000,44.0,44.0,0.0,,,gen202mor486fec38,https://pro-assets.morningconsult.com/wp-uploads/2026/08/MCPI-PI-Weekly.html#12-28-2026
2025-12-29,2025-12-26,YouGov,The Economist,A,1550,36.0,31.0,5.0,,,gen202youbujtr0mn,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_h1aYmmb.pdf
2025-12-29,2025-12-26,YouGov,The Economist,RV,1420,42.0,38.0,4.0,,,gen202yout11p2aja,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_h1aYmmb.pdf
2026-01-03,2025-12-30,The Bullfinch Group,The Independent Center,A,1200,40.0,30.0,10.0,,,gen202theup5bfb8s,https://cdn.prod.website-files.com/68d1c32ec01e1d1f6a86e801/6957e70d6a2531a1b867adaa_ICV%202026%20Nationwide%20250th%20Study%20Toplines%20-%20FINAL.pdf
2026-01-03,2025-12-30,The Bullfinch Group,The Independent Center,RV,1000,44.0,33.0,11.0,,,gen202the0qhxbf0f,https://cdn.prod.website-files.com/68d1c32ec01e1d1f6a86e801/6957e70d6a2531a1b867adaa_ICV%202026%20Nationwide%20250th%20Study%20Toplines%20-%20FINAL.pdf
2026-01-04,2025-12-29,Morning Consult,,RV,22709,44.0,42.0,2.0,,,gen202morp33r88gn,https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls#01-04-2026
2026-01-04,2026-01-02,Morning Consult,,RV,2201,45.0,42.0,3.0,,,gen202morjcls6rqx,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#01-04-2026
2026-01-05,2026-01-02,YouGov,The Economist,A,1551,39.0,32.0,7.0,,,gen202youu3ai7u27,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_EO7XvNO.pdf
2026-01-05,2026-01-02,YouGov,The Economist,RV,1389,45.0,39.0,6.0,,,gen202youurkrv24g,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_EO7XvNO.pdf
2026-01-08,2026-01-07,Cygnal,,LV,1500,48.0,45.0,3.0,,,gen202cyge6frdfy5,https://www.cygn.al/wp-content/uploads/2026/01/23520-Cygnal-National-Jan26-NVT-Deck-Public.pptx
2026-01-08,2026-01-05,RMG Research,Napolitan Institute,RV,2000,47.0,46.0,1.0,,,gen202rmg246nd3tm,https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-44#01-08-2026
2026-01-08,2026-01-07,Rasmussen Reports,,LV,2273,47.0,41.0,6.0,,,gen202ras4513ks5s,https://data.ddhq.io/polls/2026/01/19/Rasmussen-Reports-National
2026-01-11,2026-01-05,Morning Consult,,RV,19675,45.0,43.0,2.0,,,gen202moraq07xnwv,https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls#01-11-2026
2026-01-12,2026-01-09,CNN/SSRS,,RV,968,46.0,41.0,5.0,,,gen202cnnv1jpahum,https://s3.documentcloud.org/documents/26491962/cnn-poll-conducted-by-ssrs-2026-midterms-congress.pdf
2026-01-12,2026-01-09,Morning Consult,,RV,2201,46.0,43.0,3.0,,,gen202mor4n710c21,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#01-12-2026
2026-01-12,2026-01-08,The Winston Group,Winning the Issues,RV,1000,46.0,43.0,3.0,REP,,gen202the940ca850,https://www.winningtheissues.org/wp-content/uploads/2026/01/January-2026-WTI-Survey.pdf
2026-01-12,2026-01-09,YouGov,The Economist,A,1602,39.0,33.0,6.0,,,gen202you6o1nsb1w,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_YpmxDW2.pdf
2026-01-12,2026-01-09,YouGov,The Economist,RV,1437,44.0,40.0,4.0,,,gen202you85czczs0,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_YpmxDW2.pdf
2026-01-12,2026-01-08,YouGov,Yahoo News,RV,1148,45.0,40.0,5.0,,,gen202you0k6m7yg7,https://www.scribd.com/document/980617250/Yahoo-YouGov-ICE-Poll-January-2026
2026-01-13,2026-01-08,Impact Research/National Research,The Wall Street Journal,RV,1500,47.0,43.0,4.0,,,gen202impbbhnd85v,https://www.wsj.com/politics/elections/trump-approval-rating-economy-poll-b3a62e57
2026-01-13,2026-01-12,Ipsos,Reuters,RV,941,40.0,38.0,2.0,,,gen202ipshoed831k,https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05
